project_code,project_name,project_category,snapshots,cost_mean,cost_min,cost_max,positive_cost_snapshots,schedule_mean,schedule_max,progress_min,progress_max,expenditure_pct_min,expenditure_pct_max,elapsed_max,planned_duration,flags,dataset
602223,Comprehensive Scheme for Strengthening of Transmission and Distribution [T&D] Systems [CSST&DS] in Arunachal Pradesh and Sikkim,Other_Power_Transmission,12,84.34940539540047,0.0,92.0175331586187,11,,,81.0,83.8,153.98450284156638,170.97227422061997,140,35,EXTREME_COST_OVERRUN; VERY_HIGH_EXPENDITURE; COST_TARGET_VARIES,train
606781,Transmission System for Strengthening of Srinagar-Leh Tr. System,Transmission_System,4,0.0,0.0,0.0,0,10.0,11.0,59.0,99.0,70.00103910498424,96.99005922898412,43,33,SCHEDULE_TARGET_VARIES,train
607709,NORTH EASTERN REGION POWER SYSTEM IMPROVEMENT PROJECT [NERPSIP],Other_Power_Transmission,12,31.081342820753108,31.08134282075311,31.08134282075311,12,85.5,87.0,96.0,99.1,102.78088090575253,109.12521789827696,123,33,EXTREME_SCHEDULE_OVERRUN; SCHEDULE_TARGET_VARIES,train
608302,Transmission system for evacuation of Power from Pakaldul HEP in Chenab Valley HEPs - LTA System,Transmission_System,4,0.0,0.0,0.0,0,5.25,7.0,99.0,100.0,90.00062869357475,99.68565321262416,44,38,SCHEDULE_TARGET_VARIES,train
611656,Transmission scheme for evacuation of 4.5GW RE injection at Khavda PS under Phase II- Part B,Transmission_System,4,-0.04710719027022,-0.04710719027022,-0.04710719027022,0,7.25,8.0,91.0,97.0,86.7962828144405,98.30328465590338,31,24,SCHEDULE_TARGET_VARIES,train
611657,Transmission scheme for evacuation of 4.5GW RE injection at Khavda PS under Phase II- Part C,Transmission_System,6,0.0,0.0,0.0,0,8.666666666666666,10.0,84.0,98.0,86.99995391688735,98.66004487786203,33,24,SCHEDULE_TARGET_VARIES,train
611659,Transmission system strengthening scheme for evacuation of power from solar energy zones in Rajasthan[8.1 GW] under phase-II- Part E,Transmission_System,5,-0.0195356106273702,-0.0195356106273702,-0.0195356106273702,0,13.6,15.0,93.0,98.0,93.6104599240902,98.9806597454789,32,18,SCHEDULE_TARGET_VARIES,train
611660,Establishment of Khavda Pooling Station-2 KPS2 in Khavda RE Park KPS2 TRANSMISSION SYSTEM LIMITED,Substation_Grid_Equipment,4,0.0,0.0,0.0,0,9.75,11.0,95.0,97.0,92.54957126159766,96.84005833738456,31,21,SCHEDULE_TARGET_VARIES,train
611947,Transmission System for Evacuation of Power from REZ in Rajasthan 20GW under Phase III- Part E2,Transmission_System,10,0.0,0.0,0.0,0,8.4,12.0,46.0,98.4,24.998832593976186,96.99976651879524,29,19,SCHEDULE_TARGET_VARIES,train
611949,Transmission system for evacuation of power from REZ in Rajasthan 20 GW under Phase-III part C1,Transmission_System,8,0.0,0.0,0.0,0,10.25,13.0,79.0,98.47,66.87954477121636,95.99948775626108,29,18,SCHEDULE_TARGET_VARIES,train
611950,Transmission system for evacuation of power from REZ in Rajasthan 20 GW under Phase-III part B1,Transmission_System,7,0.0,0.0,0.0,0,8.428571428571429,10.0,77.0,99.0,79.45985921279684,97.66724186730214,28,19,SCHEDULE_TARGET_VARIES,train
611966,Transmission System for Evacuation of power from Potential RE Zone in Khavda Area of Gujarat under phase IV 7GW-Part E4,Transmission_System,12,0.0,0.0,0.0,0,7.666666666666667,10.0,9.0,100.0,9.9995543870594,100.0,31,20,SCHEDULE_TARGET_VARIES,train
611967,Transmission Scheme for Solar Energy Zone in Ananthpuram 2500MW and Kurnool 1000MW,Transmission_System,9,0.0,0.0,0.0,0,6.333333333333333,7.0,78.0,97.52,65.68964274559738,95.9998077985729,30,24,SCHEDULE_TARGET_VARIES,train
612138,"Transmission Scheme for Solar Energy Zone in Bidar [2500 MW], Karnataka [Bidar Transmission Ltd]",Transmission_System,6,0.0,0.0,0.0,0,4.0,4.0,64.0,87.32,60.9996181819875,84.99967405779422,25,24,NONE,train
612139,Transmission system for Evacuation of Additional 7 GW RE power from Khavda RE park under Phase-III Part B [Vataman Transmission Limited],Transmission_System,9,0.0,0.0,0.0,0,10.666666666666666,12.0,21.0,55.23,39.999786770154216,58.499874727465595,27,24,SCHEDULE_TARGET_VARIES,train
612140,Transmission Scheme for Integration of Renewable Energy Zone [Phase II] in Koppal II [Phase A&B] and gadag II[Phase A] in Karnataka [POWERGRID KOPPAL GADAG TRANSMISSION LIMITED],Transmission_System,8,0.0,0.0,0.0,0,5.625,9.0,46.0,80.41,46.10696375359505,76.99998961718563,27,24,SCHEDULE_TARGET_VARIES,train
617179,Transmission Scheme for evacuation of Power from Ratle HEP [850 MW] & kiru [624 MW] Part B,Transmission_System,8,0.0,0.0,0.0,0,9.5,11.0,0.0,1.7,0.4620311070448308,1.7017383348581887,23,24,SCHEDULE_TARGET_VARIES,train
617269,Transmission System for Strengthening to facilitate evacuation of power from Bhadla/Bikaner Complex,Transmission_System,1,0.0,0.0,0.0,0,6.0,6.0,11.17,11.17,4.689629246745923,4.689629246745923,18,18,VERY_FEW_SNAPSHOTS,train
617270,Eastern Region  Expansion Scheme-44 [ERES-44],Transmission_System,9,0.0,0.0,0.0,0,10.333333333333334,13.0,0.0,1.5,0.0782510881791949,1.4989974079327042,19,18,SCHEDULE_TARGET_VARIES,train
617326,Implementation of Transmission Systems in the State of Jharkhand consisting of 400/220/132/33 kV transmission lines and substations under Jharkhand Consultancy Project,Substation_Grid_Equipment,7,0.0,0.0,0.0,0,5.0,5.0,95.0,96.3,89.4585425430859,89.4585425430859,172,169,NONE,train
617801,Provision of ICT Augmentation & Bus Reactor at Bhuj-II PS,Substation_Grid_Equipment,9,0.0,0.0,0.0,0,4.333333333333333,6.0,0.0,6.0,0.0343796197614054,2.9996218241826247,15,21,SCHEDULE_TARGET_VARIES,train
619029,Transmission System for Reliable Power Supply to Dholera,Transmission_System,5,0.0,0.0,0.0,0,8.4,9.0,9.0,31.0,5.9983720493394275,19.998747730261098,21,18,SCHEDULE_TARGET_VARIES,train
900808,Transmission System for Kurnool Wind Energy Zone/ Solar Energy Zone  Part-A and Part-B,Transmission_System,11,0.0,0.0,0.0,0,15.363636363636363,18.0,94.0,99.69,87.99979700812531,99.59993684697233,38,20,SCHEDULE_TARGET_VARIES,train
N18000184,ESTABLISHMENT OF FIBER OPTIC COMMUNICATION SYSTEM IN NR UNDER FIBER OPTIC EXPANSION PROJECT (ADDITIO,Other_Power_Transmission,2,0.0,0.0,0.0,0,81.0,81.0,96.0,98.0,82.0111448834853,82.5177304964539,116,36,EXTREME_SCHEDULE_OVERRUN,train
N18000249,COMPREHENSIVE SCHEME FOR THE STRENGHTENING OF THE TRANSMISSION AND DISTRIBUTION SYSTEM IN A P,Other_Power_Transmission,10,92.0175331586187,92.0175331586187,92.0175331586187,10,71.14285714285714,75.0,77.1,81.7,140.59338468204322,159.9025748671762,126,48,EXTREME_COST_OVERRUN; EXTREME_SCHEDULE_OVERRUN; VERY_HIGH_EXPENDITURE; SCHEDULE_TARGET_VARIES,train
